ID: pattern
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              127        
Frame 0802    0001 0000000000540322
Frame 0803    0001 0000000000540323
Frame 0804    0001 0000000000540324
Frame 0805    0001 0000000000540325
Frame 0806    0001 0000000000540326
Frame 0807    0001 0000000000540327
Frame 0808    0001 0000000000540328
Frame 0809    0001 0000000000540329
Frame 0810    0001 000000000054032a
Frame 0811    0001 000000000054032b
Frame 0812    0001 000000000054032c
Frame 0813    0001 000000000054032d
Frame 0814    0001 000000000054032e
Frame 0815    0001 000000000054032f
Frame 0816    0001 0000000000540330
Frame 0817    0001 0000000000540331
Frame 0818    0001 0000000000540332
Frame 0819    0001 0000000000540333
Frame 0820    0001 0000000000540334
Frame 0821    0001 0000000000540335
Frame 0822    0001 0000000000540336
Frame 0823    0001 0000000000540337
Frame 0824    0001 0000000000540338
Frame 0825    0001 0000000000540339
Frame 0826    0001 000000000054033a
Frame 0827    0001 000000000054033b
Frame 0828    0001 000000000054033c
Frame 0829    0001 000000000054033d
Frame 0830    0001 000000000054033e
Frame 0831    0001 000000000054033f
Frame 0832    0001 0000000000540340
Frame 0833    0001 0000000000540341
Frame 0834    0001 0000000000540342
Frame 0835    0001 0000000000540343
Frame 0836    0001 0000000000540344
Frame 0837    0001 0000000000540345
Frame 0838    0001 0000000000540346
Frame 0839    0001 0000000000540347
Frame 0840    0001 0000000000540348
Frame 0841    0001 0000000000540349
Frame 0842    0001 000000000054034a
Frame 0843    0001 000000000054034b
Frame 0844    0001 000000000054034c
Frame 0845    0001 000000000054034d
Frame 0846    0001 000000000054034e
Frame 0847    0001 000000000054034f
Frame 0848    0001 0000000000540350
Frame 0849    0001 0000000000540351
Frame 0850    0001 0000000000540352
Frame 0851    0001 0000000000540353
Frame 0852    0001 0000000000540354
Frame 0853    0001 0000000000540355
Frame 0854    0001 0000000000540356
Frame 0855    0001 0000000000540357
Frame 0856    0001 0000000000540358
Frame 0857    0001 0000000000540359
Frame 0858    0001 000000000054035a
Frame 0859    0001 000000000054035b
Frame 0860    0001 000000000054035c
Frame 0861    0001 000000000054035d
Frame 0862    0001 000000000054035e
Frame 0863    0001 000000000054035f
Frame 0864    0001 0000000000540360
Frame 0865    0001 0000000000540361
Frame 0866    0001 0000000000540362
Frame 0867    0001 0000000000540363
Frame 0868    0001 0000000000540364
Frame 0869    0001 0000000000540365
Frame 0870    0001 0000000000540366
Frame 0871    0001 0000000000540367
Frame 0872    0001 0000000000540368
Frame 0873    0001 0000000000540369
Frame 0874    0001 000000000054036a
Frame 0875    0001 000000000054036b
Frame 0876    0001 000000000054036c
Frame 0877    0001 000000000054036d
Frame 0878    0001 000000000054036e
Frame 0879    0001 000000000054036f
Frame 0880    0001 0000000000540370
Frame 0881    0001 0000000000540371
Frame 0882    0001 0000000000540372
Frame 0883    0001 0000000000540373
Frame 0884    0001 0000000000540374
Frame 0885    0001 0000000000540375
Frame 0886    0001 0000000000540376
Frame 0887    0001 0000000000540377
Frame 0888    0001 0000000000540378
Frame 0889    0001 0000000000540379
Frame 0890    0001 000000000054037a
Frame 0891    0001 000000000054037b
Frame 0892    0001 000000000054037c
Frame 0893    0001 000000000054037d
Frame 0894    0001 000000000054037e
Frame 0895    0001 000000000054037f
Frame 0896    0001 0000000000540380
Frame 0897    0001 0000000000540381
Frame 0898    0001 0000000000540382
Frame 0899    0001 0000000000540383
Frame 0900    0001 0000000000540384
Frame 0901    0001 0000000000540385
Frame 0902    0001 0000000000540386
Frame 0903    0001 0000000000540387
Frame 0904    0001 0000000000540388
Frame 0905    0001 0000000000540389
Frame 0906    0001 000000000054038a
Frame 0907    0001 000000000054038b
Frame 0908    0001 000000000054038c
Frame 0909    0001 000000000054038d
Frame 0910    0001 000000000054038e
Frame 0911    0001 000000000054038f
Frame 0912    0001 0000000000540390
Frame 0913    0001 0000000000540391
Frame 0914    0001 0000000000540392
Frame 0915    0001 0000000000540393
Frame 0916    0001 0000000000540394
Frame 0917    0001 0000000000540395
Frame 0918    0001 0000000000540396
Frame 0919    0001 0000000000540397
Frame 0920    0001 0000000000540398
Frame 0921    0001 0000000000540399
Frame 0922    0001 000000000054039a
Frame 0923    0001 000000000054039b
Frame 0924    0001 000000000054039c
Frame 0925    0001 000000000054039d
Frame 0926    0001 000000000054039e
Frame 0927    0001 000000000054039f
Frame 0928    0001 00000000005403a0
Frame 0929    0001 00000000005403a1
Frame 0930    0001 00000000005403a2
Frame 0931    0001 00000000005403a3
Frame 0932    0001 00000000005403a4
Frame 0933    0001 00000000005403a5
Frame 0934    0001 00000000005403a6
Frame 0935    0001 00000000005403a7
Frame 0936    0001 00000000005403a8
Frame 0937    0001 00000000005403a9
Frame 0938    0001 00000000005403aa
Frame 0939    0001 00000000005403ab
Frame 0940    0001 00000000005403ac
Frame 0941    0001 00000000005403ad
Frame 0942    0001 00000000005403ae
Frame 0943    0001 00000000005403af
Frame 0944    0001 00000000005403b0
Frame 0945    0001 00000000005403b1
Frame 0946    0001 00000000005403b2
Frame 0947    0001 00000000005403b3
Frame 0948    0001 00000000005403b4
Frame 0949    0001 00000000005403b5
Frame 0950    0001 00000000005403b6
Frame 0951    0001 00000000005403b7
Frame 0952    0001 00000000005403b8
Frame 0953    0001 00000000005403b9
Frame 0954    0001 00000000005403ba
Frame 0955    0001 00000000005403bb
Frame 0956    0001 00000000005403bc
Frame 0957    0001 00000000005403bd
Frame 0958    0001 00000000005403be
Frame 0959    0001 00000000005403bf
Frame 0960    0001 00000000005403c0
Frame 0961    0001 00000000005403c1
Frame 0962    0001 00000000005403c2
Frame 0963    0001 00000000005403c3
Frame 0964    0001 00000000005403c4
Frame 0965    0001 00000000005403c5
Frame 0966    0001 00000000005403c6
Frame 0967    0001 00000000005403c7
Frame 0968    0001 00000000005403c8
Frame 0969    0001 00000000005403c9
Frame 0970    0001 00000000005403ca
Frame 0971    0001 00000000005403cb
Frame 0972    0001 00000000005403cc
Frame 0973    0001 00000000005403cd
Frame 0974    0001 00000000005403ce
Frame 0975    0001 00000000005403cf
Frame 0976    0001 00000000005403d0
Frame 0977    0001 00000000005403d1
Frame 0978    0001 00000000005403d2
Frame 0979    0001 00000000005403d3
Frame 0980    0001 00000000005403d4
Frame 0981    0001 00000000005403d5
Frame 0982    0001 00000000005403d6
Frame 0983    0001 00000000005403d7
Frame 0984    0001 00000000005403d8
Frame 0985    0001 00000000005403d9
Frame 0986    0001 00000000005403da
Frame 0987    0001 00000000005403db
Frame 0988    0001 00000000005403dc
Frame 0989    0001 00000000005403dd
Frame 0990    0001 00000000005403de
Frame 0991    0001 00000000005403df
Frame 0992    0001 00000000005403e0
Frame 0993    0001 00000000005403e1
Frame 0994    0001 00000000005403e2
Frame 0995    0001 00000000005403e3
Frame 0996    0001 00000000005403e4
Frame 0997    0001 00000000005403e5
Frame 0998    0001 00000000005403e6
Frame 0999    0001 00000000005403e7
Frame 1000    0001 00000000005403e8
Frame 1001    0001 00000000005403e9
Frame 1002    0001 00000000005403ea
Frame 1003    0001 00000000005403eb
Frame 1004    0001 00000000005403ec
Frame 1005    0001 00000000005403ed
Frame 1006    0001 00000000005403ee
Frame 1007    0001 00000000005403ef
Frame 1008    0001 00000000005403f0
Frame 1009    0001 00000000005403f1
Frame 1010    0001 00000000005403f2
Frame 1011    0001 00000000005403f3
Frame 1012    0001 00000000005403f4
Frame 1013    0001 00000000005403f5
Frame 1014    0001 00000000005403f6
Frame 1015    0001 00000000005403f7
Frame 1016    0001 00000000005403f8
Frame 1017    0001 00000000005403f9
Frame 1018    0001 00000000005403fa
Frame 1019    0001 00000000005403fb
Frame 1020    0001 00000000005403fc
Frame 1021    0001 00000000005403fd
Frame 1022    0001 00000000005403fe
Frame 1023    0011 00000000005403ff
